Node	Clustering_Coefficient	Shortest_Path_Length	Shortest_Path	Degree_Centrality
0	0.15	3	[0, 2, 32, 14]	0.4376352813852815
1	0.3333333333333333	3	[1, 2, 32, 14]	0.053936688311688304
2	0.24444444444444444	3	[2, 0, 5, 16]	0.14365680615680618
3	0.6666666666666666	3	[3, 2, 32, 14]	0.011909271284271283
4	0.6666666666666666	4	[4, 0, 2, 32, 14]	0.0006313131313131313
5	0.5	4	[5, 0, 2, 32, 14]	0.02998737373737374
6	0.5	4	[6, 0, 2, 32, 14]	0.029987373737373736
7	1.0	4	[7, 0, 8, 33, 26]	0.0
8	0.5	3	[8, 0, 5, 16]	0.05592682780182781
9	0	4	[9, 2, 0, 5, 16]	0.0008477633477633478
10	0.6666666666666666	4	[10, 0, 2, 32, 14]	0.0006313131313131313
11	0	4	[11, 0, 2, 32, 14]	0.0
12	1.0	4	[12, 0, 2, 32, 14]	0.0
13	0.6	3	[13, 0, 5, 16]	0.04586339586339586
14	1.0	5	[14, 32, 2, 0, 5, 16]	0.0
15	1.0	5	[15, 32, 2, 0, 5, 16]	0.0
16	1.0	5	[16, 5, 0, 2, 32, 14]	0.0
17	1.0	4	[17, 0, 2, 32, 14]	0.0
18	1.0	5	[18, 32, 2, 0, 5, 16]	0.0
19	0.3333333333333333	3	[19, 0, 5, 16]	0.03247504810004811
20	1.0	5	[20, 32, 2, 0, 5, 16]	0.0
21	1.0	4	[21, 0, 2, 32, 14]	0.0
22	1.0	5	[22, 32, 2, 0, 5, 16]	0.0
23	0.4	5	[23, 32, 2, 0, 5, 16]	0.017613636363636363
24	0.3333333333333333	4	[24, 31, 0, 5, 16]	0.0022095959595959595
25	0.3333333333333333	4	[25, 31, 0, 5, 16]	0.0038404882154882154
26	1.0	5	[26, 33, 8, 0, 5, 16]	0.0
27	0.16666666666666666	4	[27, 2, 0, 5, 16]	0.02233345358345358
28	0.3333333333333333	4	[28, 2, 0, 5, 16]	0.0017947330447330447
29	0.6666666666666666	5	[29, 32, 2, 0, 5, 16]	0.0029220779220779218
30	0.5	4	[30, 1, 0, 5, 16]	0.014411976911976907
31	0.2	3	[31, 0, 5, 16]	0.13827561327561325
32	0.19696969696969696	4	[32, 2, 0, 5, 16]	0.145247113997114
33	0.11029411764705882	4	[33, 8, 0, 5, 16]	0.304074975949976
